"CATEGORY","VERSION","UNIT","JURISDICTION","CANONICAL_URL","IDENTIFIER","SPDX_IDENTIFIER","TITLE","LANGUAGE_DEFAULT"
"licenses","3.0","by","lu","https://creativecommons.org/licenses/by/3.0/lu/","CC BY 3.0 LU","","Paternité 3.0 Luxembourg","fr"
"licenses","3.0","by","nl","https://creativecommons.org/licenses/by/3.0/nl/","CC BY 3.0 NL","CC-BY-3.0-NL","Naamsvermelding 3.0","nl"
"licenses","3.0","by","no","https://creativecommons.org/licenses/by/3.0/no/","CC BY 3.0 NO","","Navngivelse 3.0 Norge","no"
"licenses","3.0","by","nz","https://creativecommons.org/licenses/by/3.0/nz/","CC BY 3.0 NZ","","Attribution 3.0 New Zealand","en"
"licenses","3.0","by","ph","https://creativecommons.org/licenses/by/3.0/ph/","CC BY 3.0 PH","","Attribution 3.0 Philippines","en"
"licenses","3.0","by","pl","https://creativecommons.org/licenses/by/3.0/pl/","CC BY 3.0 PL","","Uznanie autorstwa 3.0 Polska","pl"
"licenses","3.0","by","pr","https://creativecommons.org/licenses/by/3.0/pr/","CC BY 3.0 PR","","Reconocimiento 3.0 Puerto Rico","es"
"licenses","3.0","by","pt","https://creativecommons.org/licenses/by/3.0/pt/","CC BY 3.0 PT","","Atribuição 3.0 Portugal","pt"
"licenses","3.0","by","ro","https://creativecommons.org/licenses/by/3.0/ro/","CC BY 3.0 RO","","Atribuire 3.0 România","ro"
"licenses","3.0","by","rs","https://creativecommons.org/licenses/by/3.0/rs/","CC BY 3.0 RS","","Autorstvo 3.0 Srbija","sr-latn"
"licenses","3.0","by","sg","https://creativecommons.org/licenses/by/3.0/sg/","CC BY 3.0 SG","","Attribution 3.0 Singapore","en"
"licenses","3.0","by","th","https://creativecommons.org/licenses/by/3.0/th/","CC BY 3.0 TH","","Attribution 3.0 Thailand","en"
"licenses","3.0","by","tw","https://creativecommons.org/licenses/by/3.0/tw/","CC BY 3.0 TW","","姓名標示 3.0 台灣","zh-hant"
"licenses","3.0","by","ug","https://creativecommons.org/licenses/by/3.0/ug/","CC BY 3.0 UG","","Attribution 3.0 Uganda","en"
"licenses","3.0","by","us","https://creativecommons.org/licenses/by/3.0/us/","CC BY 3.0 US","CC-BY-3.0-US","Attribution 3.0 United States","en"
"licenses","3.0","by","ve","https://creativecommons.org/licenses/by/3.0/ve/","CC BY 3.0 VE","","Atribución 3.0 Venezuela","es"
"licenses","3.0","by","vn","https://creativecommons.org/licenses/by/3.0/vn/","CC BY 3.0 VN","","Attribution 3.0 Vietnam","en"
"licenses","3.0","by","za","https://creativecommons.org/licenses/by/3.0/za/","CC BY 3.0 ZA","","Attribution 3.0 South Africa","en"
"licenses","3.0","by-nc","","https://creativecommons.org/licenses/by-nc/3.0/","CC BY-NC 3.0","CC-BY-NC-3.0","Attribution-NonCommercial 3.0 Unported","en"
"licenses","3.0","by-nc","am","https://creativecommons.org/licenses/by-nc/3.0/am/","CC BY-NC 3.0 AM","","Attribution-NonCommercial 3.0 Armenia","en"
"licenses","3.0","by-nc","at","https://creativecommons.org/licenses/by-nc/3.0/at/","CC BY-NC 3.0 AT","","Namensnennung - Keine kommerzielle Nutzung 3.0 Österreich","de"
"licenses","3.0","by-nc","au","https://creativecommons.org/licenses/by-nc/3.0/au/","CC BY-NC 3.0 AU","","Attribution-NonCommercial 3.0 Australia","en"
"licenses","3.0","by-nc","az","https://creativecommons.org/licenses/by-nc/3.0/az/","CC BY-NC 3.0 AZ","","Müəllifliyin müəyyən edilməsi, qeyri-kommersiya 3.0 Azərbaycan","az"
"licenses","3.0","by-nc","br","https://creativecommons.org/licenses/by-nc/3.0/br/","CC BY-NC 3.0 BR","","Atribuição-Uso não-comercial 3.0 Brasil","pt-br"
"licenses","3.0","by-nc","ca","https://creativecommons.org/licenses/by-nc/3.0/ca/","CC BY-NC 3.0 CA","","Attribution-NonCommercial 3.0 Canada","en"
"licenses","3.0","by-nc","ch","https://creativecommons.org/licenses/by-nc/3.0/ch/","CC BY-NC 3.0 CH","","Namensnennung – Nicht-kommerziell (by-nc) 3.0 Schweiz","de"
"licenses","3.0","by-nc","cl","https://creativecommons.org/licenses/by-nc/3.0/cl/","CC BY-NC 3.0 CL","","Atribución - NoComercial 3.0 Chile","es"
"licenses","3.0","by-nc","cn","https://creativecommons.org/licenses/by-nc/3.0/cn/","CC BY-NC 3.0 CN","","署名-非商业性使用 3.0中国大陆","zh-hans"
"licenses","3.0","by-nc","cr","https://creativecommons.org/licenses/by-nc/3.0/cr/","CC BY-NC 3.0 CR","","Atribución – NoComercial 3.0 Costa Rica","es"
"licenses","3.0","by-nc","cz","https://creativecommons.org/licenses/by-nc/3.0/cz/","CC BY-NC 3.0 CZ","","Uveďte autora-Neužívejte komerčně 3.0 Česko","cs"
"licenses","3.0","by-nc","de","https://creativecommons.org/licenses/by-nc/3.0/de/","CC BY-NC 3.0 DE","CC-BY-NC-3.0-DE","Namensnennung - Keine kommerzielle Nutzung 3.0 Deutschland","de"
"licenses","3.0","by-nc","ec","https://creativecommons.org/licenses/by-nc/3.0/ec/","CC BY-NC 3.0 EC","","Reconocimiento – No Comercial 3.0 Ecuador","es"
"licenses","3.0","by-nc","ee","https://creativecommons.org/licenses/by-nc/3.0/ee/","CC BY-NC 3.0 EE","","Autorile viitamine-Mitteäriline eesmärk 3.0 Eesti","et"
"licenses","3.0","by-nc","eg","https://creativecommons.org/licenses/by-nc/3.0/eg/","CC BY-NC 3.0 EG","","نسب المصنف - غير تجاري 3.0 مصر","ar"
"licenses","3.0","by-nc","es","https://creativecommons.org/licenses/by-nc/3.0/es/","CC BY-NC 3.0 ES","","Reconocimiento-NoComercial 3.0 España","es"
"licenses","3.0","by-nc","fr","https://creativecommons.org/licenses/by-nc/3.0/fr/","CC BY-NC 3.0 FR","","Creative Commons Attribution Pas d'Utilisation Commerciale 3.0 France","fr"
"licenses","3.0","by-nc","ge","https://creativecommons.org/licenses/by-nc/3.0/ge/","CC BY-NC 3.0 GE","","Attribution-NonCommercial 3.0 Georgia","en"
"licenses","3.0","by-nc","gr","https://creativecommons.org/licenses/by-nc/3.0/gr/","CC BY-NC 3.0 GR","","Αναφορά-Μη-Εμπορική Χρήση 3.0 Ελλάδα","el"
"licenses","3.0","by-nc","gt","https://creativecommons.org/licenses/by-nc/3.0/gt/","CC BY-NC 3.0 GT","","Reconocimiento – No Comercial 3.0 Guatemala","es"
"licenses","3.0","by-nc","hk","https://creativecommons.org/licenses/by-nc/3.0/hk/","CC BY-NC 3.0 HK","","Attribution-NonCommercial 3.0 Hong Kong","en"
"licenses","3.0","by-nc","hr","https://creativecommons.org/licenses/by-nc/3.0/hr/","CC BY-NC 3.0 HR","","Imenovanje-Nekomercijalno 3.0 Hrvatska","hr"
"licenses","3.0","by-nc","ie","https://creativecommons.org/licenses/by-nc/3.0/ie/","CC BY-NC 3.0 IE","","Attribution-NonCommercial 3.0 Ireland","en"
"licenses","3.0","by-nc","igo","https://creativecommons.org/licenses/by-nc/3.0/igo/","CC BY-NC 3.0 IGO","","Attribution-NonCommercial 3.0 IGO","en"
"licenses","3.0","by-nc","it","https://creativecommons.org/licenses/by-nc/3.0/it/","CC BY-NC 3.0 IT","","Attribuzione - Non commerciale 3.0 Italia","it"
"licenses","3.0","by-nc","lu","https://creativecommons.org/licenses/by-nc/3.0/lu/","CC BY-NC 3.0 LU","","Paternité - Pas d'Utilisation Commerciale 3.0 Luxembourg","fr"
"licenses","3.0","by-nc","nl","https://creativecommons.org/licenses/by-nc/3.0/nl/","CC BY-NC 3.0 NL","","Naamsvermelding-NietCommercieel 3.0","nl"
"licenses","3.0","by-nc","no","https://creativecommons.org/licenses/by-nc/3.0/no/","CC BY-NC 3.0 NO","","Navngivelse-Ikkekommersiell 3.0 Norge","no"
"licenses","3.0","by-nc","nz","https://creativecommons.org/licenses/by-nc/3.0/nz/","CC BY-NC 3.0 NZ","","Attribution-NonCommercial 3.0 New Zealand","en"
"licenses","3.0","by-nc","ph","https://creativecommons.org/licenses/by-nc/3.0/ph/","CC BY-NC 3.0 PH","","Attribution-NonCommercial 3.0 Philippines","en"
"licenses","3.0","by-nc","pl","https://creativecommons.org/licenses/by-nc/3.0/pl/","CC BY-NC 3.0 PL","","Uznanie autorstwa - Użycie niekomercyjne 3.0 Polska","pl"
"licenses","3.0","by-nc","pr","https://creativecommons.org/licenses/by-nc/3.0/pr/","CC BY-NC 3.0 PR","","Reconocimiento - No Comercial 3.0 Puerto Rico","es"
"licenses","3.0","by-nc","pt","https://creativecommons.org/licenses/by-nc/3.0/pt/","CC BY-NC 3.0 PT","","Atribuição – NãoComercial 3.0 Portugal","pt"
"licenses","3.0","by-nc","ro","https://creativecommons.org/licenses/by-nc/3.0/ro/","CC BY-NC 3.0 RO","","Atribuire–Necomercial 3.0 România","ro"
"licenses","3.0","by-nc","rs","https://creativecommons.org/licenses/by-nc/3.0/rs/","CC BY-NC 3.0 RS","","Autorstvo-Nekomercijalno 3.0 Srbija","sr-latn"
"licenses","3.0","by-nc","sg","https://creativecommons.org/licenses/by-nc/3.0/sg/","CC BY-NC 3.0 SG","","Attribution-NonCommercial 3.0 Singapore","en"
"licenses","3.0","by-nc","th","https://creativecommons.org/licenses/by-nc/3.0/th/","CC BY-NC 3.0 TH","","Attribution-NonCommercial 3.0 Thailand","en"
"licenses","3.0","by-nc","tw","https://creativecommons.org/licenses/by-nc/3.0/tw/","CC BY-NC 3.0 TW","","姓名標示─非商業性 3.0 台灣","zh-hant"
"licenses","3.0","by-nc","ug","https://creativecommons.org/licenses/by-nc/3.0/ug/","CC BY-NC 3.0 UG","","Attribution-NonCommercial 3.0 Uganda","en"
"licenses","3.0","by-nc","us","https://creativecommons.org/licenses/by-nc/3.0/us/","CC BY-NC 3.0 US","","Attribution-NonCommercial 3.0 United States","en"
"licenses","3.0","by-nc","ve","https://creativecommons.org/licenses/by-nc/3.0/ve/","CC BY-NC 3.0 VE","","Atribución-NoComercial 3.0 Venezuela","es"
"licenses","3.0","by-nc","vn","https://creativecommons.org/licenses/by-nc/3.0/vn/","CC BY-NC 3.0 VN","","Attribution-NonCommercial 3.0 Vietnam","en"
"licenses","3.0","by-nc","za","https://creativecommons.org/licenses/by-nc/3.0/za/","CC BY-NC 3.0 ZA","","Attribution-NonCommercial 3.0 South Africa","en"
"licenses","3.0","by-nc-nd","","https://creativecommons.org/licenses/by-nc-nd/3.0/","CC BY-NC-ND 3.0","CC-BY-NC-ND-3.0","Attribution-NonCommercial-NoDerivs 3.0 Unported","en"
"licenses","3.0","by-nc-nd","am","https://creativecommons.org/licenses/by-nc-nd/3.0/am/","CC BY-NC-ND 3.0 AM","","Attribution-NonCommercial-NoDerivs 3.0 Armenia","en"
"licenses","3.0","by-nc-nd","at","https://creativecommons.org/licenses/by-nc-nd/3.0/at/","CC BY-NC-ND 3.0 AT","","Namensnennung - Keine kommerzielle Nutzung - Keine Bearbeitungen 3.0 Österreich","de"
"licenses","3.0","by-nc-nd","au","https://creativecommons.org/licenses/by-nc-nd/3.0/au/","CC BY-NC-ND 3.0 AU","","Attribution-NonCommercial-NoDerivs 3.0 Australia","en"
"licenses","3.0","by-nc-nd","az","https://creativecommons.org/licenses/by-nc-nd/3.0/az/","CC BY-NC-ND 3.0 AZ","","Müəllifliyin müəyyən edilməsi, qeyri-kommersiya, qeyri-törəmə 3.0 Azərbaycan","az"
"licenses","3.0","by-nc-nd","br","https://creativecommons.org/licenses/by-nc-nd/3.0/br/","CC BY-NC-ND 3.0 BR","","Atribuição-Uso não-comercial-Vedada a criação de obras derivadas 3.0 Brasil","pt-br"
"licenses","3.0","by-nc-nd","ca","https://creativecommons.org/licenses/by-nc-nd/3.0/ca/","CC BY-NC-ND 3.0 CA","","Attribution-NonCommercial-NoDerivs 3.0 Canada","en"
"licenses","3.0","by-nc-nd","ch","https://creativecommons.org/licenses/by-nc-nd/3.0/ch/","CC BY-NC-ND 3.0 CH","","Namensnennung – Nicht-kommerziell – Keine Bearbeitung (by-nc-nd) 3.0 Schweiz","de"
"licenses","3.0","by-nc-nd","cl","https://creativecommons.org/licenses/by-nc-nd/3.0/cl/","CC BY-NC-ND 3.0 CL","","Atribución - NoComercial - SinDerivadas 3.0 Chile","es"
"licenses","3.0","by-nc-nd","cn","https://creativecommons.org/licenses/by-nc-nd/3.0/cn/","CC BY-NC-ND 3.0 CN","","署名-非商业性使用-禁止演绎 3.0中国大陆","zh-hans"
"licenses","3.0","by-nc-nd","cr","https://creativecommons.org/licenses/by-nc-nd/3.0/cr/","CC BY-NC-ND 3.0 CR","","Atribución – NoComercial – SinDerivadas 3.0 Costa Rica","es"
"licenses","3.0","by-nc-nd","cz","https://creativecommons.org/licenses/by-nc-nd/3.0/cz/","CC BY-NC-ND 3.0 CZ","","Uveďte autora-Neužívejte komerčně-Nezasahujte do díla 3.0 Česko","cs"
"licenses","3.0","by-nc-nd","de","https://creativecommons.org/licenses/by-nc-nd/3.0/de/","CC BY-NC-ND 3.0 DE","CC-BY-NC-ND-3.0-DE","Namensnennung - Keine kommerzielle Nutzung - Keine Bearbeitungen 3.0 Deutschland","de"
"licenses","3.0","by-nc-nd","ec","https://creativecommons.org/licenses/by-nc-nd/3.0/ec/","CC BY-NC-ND 3.0 EC","","Reconocimiento – No Comercial – Sin Obras Derivadas 3.0 Ecuador","es"
"licenses","3.0","by-nc-nd","ee","https://creativecommons.org/licenses/by-nc-nd/3.0/ee/","CC BY-NC-ND 3.0 EE","","Autorile viitamine-Mitteäriline eesmärk-Tuletatud teoste keeld 3.0 Eesti","et"
"licenses","3.0","by-nc-nd","eg","https://creativecommons.org/licenses/by-nc-nd/3.0/eg/","CC BY-NC-ND 3.0 EG","","نسب المصنف - غير تجاري – منع الاشتقاق 3.0 مصر","ar"
"licenses","3.0","by-nc-nd","es","https://creativecommons.org/licenses/by-nc-nd/3.0/es/","CC BY-NC-ND 3.0 ES","","Reconocimiento-NoComercial-SinObrasDerivadas 3.0 España","es"
"licenses","3.0","by-nc-nd","fr","https://creativecommons.org/licenses/by-nc-nd/3.0/fr/","CC BY-NC-ND 3.0 FR","","Creative Commons Attribution Pas d'Utilisation Commerciale Pas de Modification 3.0 France","fr"
"licenses","3.0","by-nc-nd","ge","https://creativecommons.org/licenses/by-nc-nd/3.0/ge/","CC BY-NC-ND 3.0 GE","","Attribution-NonCommercial-NoDerivs 3.0 Georgia","en"
"licenses","3.0","by-nc-nd","gr","https://creativecommons.org/licenses/by-nc-nd/3.0/gr/","CC BY-NC-ND 3.0 GR","","Αναφορά-Μη-Εμπορική Χρήση-Όχι Παράγωγο Έργο 3.0 Ελλάδα","el"
"licenses","3.0","by-nc-nd","gt","https://creativecommons.org/licenses/by-nc-nd/3.0/gt/","CC BY-NC-ND 3.0 GT","","Reconocimiento – No Comercial – Sin Obras Derivadas 3.0 Guatemala","es"
"licenses","3.0","by-nc-nd","hk","https://creativecommons.org/licenses/by-nc-nd/3.0/hk/","CC BY-NC-ND 3.0 HK","","Attribution-NonCommercial-NoDerivs 3.0 Hong Kong","en"
"licenses","3.0","by-nc-nd","hr","https://creativecommons.org/licenses/by-nc-nd/3.0/hr/","CC BY-NC-ND 3.0 HR","","Imenovanje-Nekomercijalno-Bez prerada 3.0 Hrvatska","hr"
"licenses","3.0","by-nc-nd","ie","https://creativecommons.org/licenses/by-nc-nd/3.0/ie/","CC BY-NC-ND 3.0 IE","","Attribution-NonCommercial-NoDerivs 3.0 Ireland","en"
"licenses","3.0","by-nc-nd","igo","https://creativecommons.org/licenses/by-nc-nd/3.0/igo/","CC BY-NC-ND 3.0 IGO","CC-BY-NC-ND-3.0-IGO","Attribution-NonCommercial-NoDerivs 3.0 IGO","en"
"licenses","3.0","by-nc-nd","it","https://creativecommons.org/licenses/by-nc-nd/3.0/it/","CC BY-NC-ND 3.0 IT","","Attribuzione – Non commerciale – Non opere derivate 3.0 Italia","it"
"licenses","3.0","by-nc-nd","lu","https://creativecommons.org/licenses/by-nc-nd/3.0/lu/","CC BY-NC-ND 3.0 LU","","Paternité - Pas d'Utilisation Commerciale - Pas de Modification 3.0 Luxembourg","fr"
"licenses","3.0","by-nc-nd","nl","https://creativecommons.org/licenses/by-nc-nd/3.0/nl/","CC BY-NC-ND 3.0 NL","","Naamsvermelding-NietCommercieel-GeenAfgeleideWerken 3.0","nl"
"licenses","3.0","by-nc-nd","no","https://creativecommons.org/licenses/by-nc-nd/3.0/no/","CC BY-NC-ND 3.0 NO","","Navngivelse-Ikkekommersiell-IngenBearbeidelse 3.0 Norge","no"
"licenses","3.0","by-nc-nd","nz","https://creativecommons.org/licenses/by-nc-nd/3.0/nz/","CC BY-NC-ND 3.0 NZ","","Attribution-NonCommercial-NoDerivs 3.0 New Zealand","en"
"licenses","3.0","by-nc-nd","ph","https://creativecommons.org/licenses/by-nc-nd/3.0/ph/","CC BY-NC-ND 3.0 PH","","Attribution-NonCommercial-NoDerivs 3.0 Philippines","en"
"licenses","3.0","by-nc-nd","pl","https://creativecommons.org/licenses/by-nc-nd/3.0/pl/","CC BY-NC-ND 3.0 PL","","Uznanie autorstwa - Użycie niekomercyjne - Bez utworów zależnych 3.0 Polska","pl"
"licenses","3.0","by-nc-nd","pr","https://creativecommons.org/licenses/by-nc-nd/3.0/pr/","CC BY-NC-ND 3.0 PR","","Reconocimiento - No Comercial - Sin Obras Derivadas 3.0 Puerto Rico","es"
"licenses","3.0","by-nc-nd","pt","https://creativecommons.org/licenses/by-nc-nd/3.0/pt/","CC BY-NC-ND 3.0 PT","","Atribuição – NãoComercial – SemDerivados 3.0 Portugal","pt"
"licenses","3.0","by-nc-nd","ro","https://creativecommons.org/licenses/by-nc-nd/3.0/ro/","CC BY-NC-ND 3.0 RO","","Atribuire–Necomercial–Fără Modificări 3.0 România","ro"
"licenses","3.0","by-nc-nd","rs","https://creativecommons.org/licenses/by-nc-nd/3.0/rs/","CC BY-NC-ND 3.0 RS","","Autorstvo-Nekomercijalno-Bez prerada 3.0 Srbija","sr-latn"
"licenses","3.0","by-nc-nd","sg","https://creativecommons.org/licenses/by-nc-nd/3.0/sg/","CC BY-NC-ND 3.0 SG","","Attribution-NonCommercial-NoDerivs 3.0 Singapore","en"
"licenses","3.0","by-nc-nd","th","https://creativecommons.org/licenses/by-nc-nd/3.0/th/","CC BY-NC-ND 3.0 TH","","Attribution-NonCommercial-NoDerivs 3.0 Thailand","en"
"licenses","3.0","by-nc-nd","tw","https://creativecommons.org/licenses/by-nc-nd/3.0/tw/","CC BY-NC-ND 3.0 TW","","姓名標示─非商業性─禁止改作 3.0 台灣","zh-hant"
"licenses","3.0","by-nc-nd","ug","https://creativecommons.org/licenses/by-nc-nd/3.0/ug/","CC BY-NC-ND 3.0 UG","","Attribution-NonCommercial-NoDerivs 3.0 Uganda","en"
"licenses","3.0","by-nc-nd","us","https://creativecommons.org/licenses/by-nc-nd/3.0/us/","CC BY-NC-ND 3.0 US","","Attribution-NonCommercial-NoDerivs 3.0 United States","en"
"licenses","3.0","by-nc-nd","ve","https://creativecommons.org/licenses/by-nc-nd/3.0/ve/","CC BY-NC-ND 3.0 VE","","Atribución-NoComercial-SinDerivadas 3.0 Venezuela","es"
"licenses","3.0","by-nc-nd","vn","https://creativecommons.org/licenses/by-nc-nd/3.0/vn/","CC BY-NC-ND 3.0 VN","","Attribution-NonCommercial-NoDerivs 3.0 Vietnam","en"
"licenses","3.0","by-nc-nd","za","https://creativecommons.org/licenses/by-nc-nd/3.0/za/","CC BY-NC-ND 3.0 ZA","","Attribution-NonCommercial-NoDerivs 3.0 South Africa","en"
"licenses","3.0","by-nc-sa","","https://creativecommons.org/licenses/by-nc-sa/3.0/","CC BY-NC-SA 3.0","CC-BY-NC-SA-3.0","Attribution-NonCommercial-ShareAlike 3.0 Unported","en"
"licenses","3.0","by-nc-sa","am","https://creativecommons.org/licenses/by-nc-sa/3.0/am/","CC BY-NC-SA 3.0 AM","","Attribution-NonCommercial-ShareAlike 3.0 Armenia","en"
"licenses","3.0","by-nc-sa","at","https://creativecommons.org/licenses/by-nc-sa/3.0/at/","CC BY-NC-SA 3.0 AT","","Namensnennung - Keine kommerzielle Nutzung - Weitergabe unter gleichen Bedingungen 3.0 Österreich","de"
"licenses","3.0","by-nc-sa","au","https://creativecommons.org/licenses/by-nc-sa/3.0/au/","CC BY-NC-SA 3.0 AU","","Attribution-NonCommercial-ShareAlike 3.0 Australia","en"
"licenses","3.0","by-nc-sa","az","https://creativecommons.org/licenses/by-nc-sa/3.0/az/","CC BY-NC-SA 3.0 AZ","","Müəllifliyin müəyyən edilməsi, qeyri-kommersiya, bərabər istifadə hüquqlu 3.0","az"
"licenses","3.0","by-nc-sa","br","https://creativecommons.org/licenses/by-nc-sa/3.0/br/","CC BY-NC-SA 3.0 BR","","Atribuição-Uso não-comercial-Compartilhamento pela mesma licença 3.0 Brasil","pt-br"
"licenses","3.0","by-nc-sa","ca","https://creativecommons.org/licenses/by-nc-sa/3.0/ca/","CC BY-NC-SA 3.0 CA","","Attribution-NonCommercial-ShareAlike 3.0 Canada","en"
"licenses","3.0","by-nc-sa","ch","https://creativecommons.org/licenses/by-nc-sa/3.0/ch/","CC BY-NC-SA 3.0 CH","","Namensnennung – Nicht-kommerziell – Weitergabe unter gleichen Bedingungen (by-nc-sa) 3.0 Schweiz","de"
"licenses","3.0","by-nc-sa","cl","https://creativecommons.org/licenses/by-nc-sa/3.0/cl/","CC BY-NC-SA 3.0 CL","","Atribución - NoComercial - CompartirIgual 3.0 Chile","es"
"licenses","3.0","by-nc-sa","cn","https://creativecommons.org/licenses/by-nc-sa/3.0/cn/","CC BY-NC-SA 3.0 CN","","署名-非商业性使用-相同方式共享 3.0中国大陆","zh-hans"
"licenses","3.0","by-nc-sa","cr","https://creativecommons.org/licenses/by-nc-sa/3.0/cr/","CC BY-NC-SA 3.0 CR","","Atribución – NoComercial – CompartirIgual 3.0 Costa Rica","es"
"licenses","3.0","by-nc-sa","cz","https://creativecommons.org/licenses/by-nc-sa/3.0/cz/","CC BY-NC-SA 3.0 CZ","","Uveďte autora-Neužívejte komerčně-Zachovejte licenci 3.0 Česko","cs"
"licenses","3.0","by-nc-sa","de","https://creativecommons.org/licenses/by-nc-sa/3.0/de/","CC BY-NC-SA 3.0 DE","CC-BY-NC-SA-3.0-DE","Namensnennung - Keine kommerzielle Nutzung - Weitergabe unter gleichen Bedingungen 3.0 Deutschland","de"
"licenses","3.0","by-nc-sa","ec","https://creativecommons.org/licenses/by-nc-sa/3.0/ec/","CC BY-NC-SA 3.0 EC","","Reconocimiento – No Comercial – Compartir Igual 3.0 Ecuador","es"
"licenses","3.0","by-nc-sa","ee","https://creativecommons.org/licenses/by-nc-sa/3.0/ee/","CC BY-NC-SA 3.0 EE","","Autorile viitamine-Mitteäriline eesmärk-Jagamine samadel tingimustel 3.0 Eesti","et"
"licenses","3.0","by-nc-sa","eg","https://creativecommons.org/licenses/by-nc-sa/3.0/eg/","CC BY-NC-SA 3.0 EG","","نسب المصنف - غير تجاري – الترخيص بالمثل 3.0 مصر","ar"
